country,year,month,value
Armenia,2023,January,30
Armenia,2023,February,55
Armenia,2023,March,80
Armenia,2023,April,60
Armenia,2023,May,280
Armenia,2023,June,130
Armenia,2023,July,50
Armenia,2023,August,50
Armenia,2023,September,40
Armenia,2023,October,105
Armenia,2023,November,155
Armenia,2023,December,75
Armenia,2023,Total,1105
Armenia,2024,January,140
Armenia,2024,February,60
Armenia,2024,March,65
Armenia,2024,April,200
Armenia,2024,May,115
Armenia,2024,June,85
Armenia,2024,July,65
Armenia,2024,August,130
Armenia,2024,September,75
Armenia,2024,October,95
Armenia,2024,November,100
Armenia,2024,December,65
Armenia,2024,Total,1200
Armenia,2025,January,50
Armenia,2025,February,85
Armenia,2025,March,60
Armenia,2025,April,65
Armenia,2025,May,105
Armenia,2025,June,85
Armenia,2025,July,75
Armenia,2025,August,50
Armenia,2025,September,50
Armenia,2025,October,60
Armenia,2025,November,50
Armenia,2025,December,35
Armenia,2025,Total,780
Armenia,2026,January,45
Armenia,2026,February,70
Armenia,2026,March,55
Armenia,2026,April,80
Armenia,2026,May,60
Armenia,2026,Total,310
Australia,2023,January,10
Australia,2023,February,0
Australia,2023,March,5
Australia,2023,April,0
Australia,2023,May,0
Australia,2023,June,0
Australia,2023,July,
Australia,2023,August,10
Australia,2023,September,5
Australia,2023,October,
Australia,2023,November,
Australia,2023,December,
Australia,2023,Total,35
Australia,2024,January,0
Australia,2024,February,5
Australia,2024,March,
Australia,2024,April,10
Australia,2024,May,
Australia,2024,June,
Australia,2024,July,0
Australia,2024,August,
Australia,2024,September,0
Australia,2024,October,
Australia,2024,November,5
Australia,2024,December,
Australia,2024,Total,35
Australia,2025,January,0
Australia,2025,February,0
Australia,2025,March,
Australia,2025,April,
Australia,2025,May,
Australia,2025,June,5
Australia,2025,July,
Australia,2025,August,5
Australia,2025,September,
Australia,2025,October,5
Australia,2025,November,0
Australia,2025,December,0
Australia,2025,Total,30
Australia,2026,January,10
Australia,2026,February,
Australia,2026,March,
Australia,2026,April,
Australia,2026,May,0
Australia,2026,Total,20
Austria,2023,January,
Austria,2023,February,
Austria,2023,March,
Austria,2023,April,0
Austria,2023,May,0
Austria,2023,June,
Austria,2023,July,0
Austria,2023,August,
Austria,2023,September,5
Austria,2023,October,
Austria,2023,November,0
Austria,2023,December,0
Austria,2023,Total,15
Austria,2024,January,0
Austria,2024,February,
Austria,2024,March,0
Austria,2024,April,
Austria,2024,May,
Austria,2024,June,
Austria,2024,July,0
Austria,2024,August,0
Austria,2024,September,
Austria,2024,October,
Austria,2024,November,0
Austria,2024,December,0
Austria,2024,Total,10
Austria,2025,January,0
Austria,2025,February,0
Austria,2025,March,
Austria,2025,April,
Austria,2025,May,0
Austria,2025,June,
Austria,2025,July,
Austria,2025,August,
Austria,2025,September,
Austria,2025,October,0
Austria,2025,November,
Austria,2025,December,
Austria,2025,Total,15
Austria,2026,January,
Austria,2026,February,
Austria,2026,March,
Austria,2026,April,
Austria,2026,May,0
Austria,2026,Total,10
Azerbaijan,2023,January,20
Azerbaijan,2023,February,105
Azerbaijan,2023,March,195
Azerbaijan,2023,April,30
Azerbaijan,2023,May,95
Azerbaijan,2023,June,60
Azerbaijan,2023,July,85
Azerbaijan,2023,August,45
Azerbaijan,2023,September,30
Azerbaijan,2023,October,105
Azerbaijan,2023,November,100
Azerbaijan,2023,December,40
Azerbaijan,2023,Total,905
Azerbaijan,2024,January,25
Azerbaijan,2024,February,60
Azerbaijan,2024,March,85
Azerbaijan,2024,April,40
Azerbaijan,2024,May,70
Azerbaijan,2024,June,65
Azerbaijan,2024,July,160
Azerbaijan,2024,August,170
Azerbaijan,2024,September,100
Azerbaijan,2024,October,100
Azerbaijan,2024,November,85
Azerbaijan,2024,December,60
Azerbaijan,2024,Total,1010
Azerbaijan,2025,January,85
Azerbaijan,2025,February,25
Azerbaijan,2025,March,155
Azerbaijan,2025,April,75
Azerbaijan,2025,May,120
Azerbaijan,2025,June,130
Azerbaijan,2025,July,115
Azerbaijan,2025,August,105
Azerbaijan,2025,September,20
Azerbaijan,2025,October,30
Azerbaijan,2025,November,35
Azerbaijan,2025,December,30
Azerbaijan,2025,Total,925
Azerbaijan,2026,January,50
Azerbaijan,2026,February,40
Azerbaijan,2026,March,35
Azerbaijan,2026,April,35
Azerbaijan,2026,May,45
Azerbaijan,2026,Total,205
"Bahama Islands, The",2023,January,0
"Bahama Islands, The",2023,February,0
"Bahama Islands, The",2023,March,0
"Bahama Islands, The",2023,April,0
"Bahama Islands, The",2023,May,
"Bahama Islands, The",2023,June,
"Bahama Islands, The",2023,July,0
"Bahama Islands, The",2023,August,
"Bahama Islands, The",2023,September,0
"Bahama Islands, The",2023,October,0
"Bahama Islands, The",2023,November,0
"Bahama Islands, The",2023,December,
"Bahama Islands, The",2023,Total,10
"Bahama Islands, The",2024,January,0
"Bahama Islands, The",2024,February,0
"Bahama Islands, The",2024,March,0
"Bahama Islands, The",2024,April,0
"Bahama Islands, The",2024,May,
"Bahama Islands, The",2024,June,
"Bahama Islands, The",2024,July,
"Bahama Islands, The",2024,August,0
"Bahama Islands, The",2024,September,
"Bahama Islands, The",2024,October,0
"Bahama Islands, The",2024,November,0
"Bahama Islands, The",2024,December,0
"Bahama Islands, The",2024,Total,10
"Bahama Islands, The",2025,January,0
"Bahama Islands, The",2025,February,
"Bahama Islands, The",2025,March,0
"Bahama Islands, The",2025,April,0
"Bahama Islands, The",2025,May,5
"Bahama Islands, The",2025,June,0
"Bahama Islands, The",2025,July,
"Bahama Islands, The",2025,August,
"Bahama Islands, The",2025,September,0
"Bahama Islands, The",2025,October,0
"Bahama Islands, The",2025,November,
"Bahama Islands, The",2025,December,
"Bahama Islands, The",2025,Total,15
"Bahama Islands, The",2026,January,0
"Bahama Islands, The",2026,February,
"Bahama Islands, The",2026,March,
"Bahama Islands, The",2026,April,0
"Bahama Islands, The",2026,May,0
"Bahama Islands, The",2026,Total,
Bahrain,2023,January,170
Bahrain,2023,February,50
Bahrain,2023,March,25
Bahrain,2023,April,20
Bahrain,2023,May,35
Bahrain,2023,June,50
Bahrain,2023,July,120
Bahrain,2023,August,40
Bahrain,2023,September,20
Bahrain,2023,October,40
Bahrain,2023,November,15
Bahrain,2023,December,10
Bahrain,2023,Total,595
Bahrain,2024,January,45
Bahrain,2024,February,35
Bahrain,2024,March,35
Bahrain,2024,April,30
Bahrain,2024,May,90
Bahrain,2024,June,30
Bahrain,2024,July,55
Bahrain,2024,August,30
Bahrain,2024,September,10
Bahrain,2024,October,55
Bahrain,2024,November,30
Bahrain,2024,December,15
Bahrain,2024,Total,455
Bahrain,2025,January,25
Bahrain,2025,February,30
Bahrain,2025,March,25
Bahrain,2025,April,5
Bahrain,2025,May,85
Bahrain,2025,June,25
Bahrain,2025,July,30
Bahrain,2025,August,25
Bahrain,2025,September,40
Bahrain,2025,October,20
Bahrain,2025,November,15
Bahrain,2025,December,10
Bahrain,2025,Total,330
Bahrain,2026,January,10
Bahrain,2026,February,30
Bahrain,2026,March,15
Bahrain,2026,April,45
Bahrain,2026,May,55
Bahrain,2026,Total,155
Bangladesh,2023,January,1155
Bangladesh,2023,February,1880
Bangladesh,2023,March,3275
Bangladesh,2023,April,2150
Bangladesh,2023,May,4110
Bangladesh,2023,June,2285
Bangladesh,2023,July,3795
Bangladesh,2023,August,4245
Bangladesh,2023,September,4025
Bangladesh,2023,October,5175
Bangladesh,2023,November,7890
Bangladesh,2023,December,5270
Bangladesh,2023,Total,45255
Bangladesh,2024,January,4660
Bangladesh,2024,February,3640
Bangladesh,2024,March,3175
Bangladesh,2024,April,2315
Bangladesh,2024,May,2930
Bangladesh,2024,June,1965
Bangladesh,2024,July,1955
Bangladesh,2024,August,1280
Bangladesh,2024,September,1455
Bangladesh,2024,October,1615
Bangladesh,2024,November,1595
Bangladesh,2024,December,1195
Bangladesh,2024,Total,27780
Bangladesh,2025,January,1190
Bangladesh,2025,February,1325
Bangladesh,2025,March,1025
Bangladesh,2025,April,1125
Bangladesh,2025,May,1560
Bangladesh,2025,June,1095
Bangladesh,2025,July,1220
Bangladesh,2025,August,1220
Bangladesh,2025,September,1280
Bangladesh,2025,October,1160
Bangladesh,2025,November,1145
Bangladesh,2025,December,1125
Bangladesh,2025,Total,14475
Bangladesh,2026,January,935
Bangladesh,2026,February,1135
Bangladesh,2026,March,1155
Bangladesh,2026,April,1395
Bangladesh,2026,May,1260
Bangladesh,2026,Total,5880
Barbados,2023,January,
Barbados,2023,February,0
Barbados,2023,March,
Barbados,2023,April,0
Barbados,2023,May,0
Barbados,2023,June,
Barbados,2023,July,
Barbados,2023,August,
Barbados,2023,September,10
Barbados,2023,October,5
Barbados,2023,November,0
Barbados,2023,December,
Barbados,2023,Total,30
Barbados,2024,January,0
Barbados,2024,February,
Barbados,2024,March,0
Barbados,2024,April,0
Barbados,2024,May,
Barbados,2024,June,
Barbados,2024,July,
Barbados,2024,August,
Barbados,2024,September,0
Barbados,2024,October,0
Barbados,2024,November,
Barbados,2024,December,
Barbados,2024,Total,10
Barbados,2025,January,0
Barbados,2025,February,
Barbados,2025,March,
Barbados,2025,April,0
Barbados,2025,May,
Barbados,2025,June,
Barbados,2025,July,
Barbados,2025,August,0
Barbados,2025,September,
Barbados,2025,October,5
Barbados,2025,November,0
Barbados,2025,December,
Barbados,2025,Total,15
Barbados,2026,January,0
Barbados,2026,February,0
Barbados,2026,March,0
Barbados,2026,April,0
Barbados,2026,May,0
Barbados,2026,Total,0
Belarus,2023,January,55
Belarus,2023,February,20
Belarus,2023,March,60
Belarus,2023,April,40
Belarus,2023,May,145
Belarus,2023,June,90
Belarus,2023,July,50
Belarus,2023,August,35
Belarus,2023,September,40
Belarus,2023,October,90
Belarus,2023,November,100
Belarus,2023,December,75
Belarus,2023,Total,805
Belarus,2024,January,75
Belarus,2024,February,35
Belarus,2024,March,40
Belarus,2024,April,95
Belarus,2024,May,75
Belarus,2024,June,25
Belarus,2024,July,40
Belarus,2024,August,55
Belarus,2024,September,45
Belarus,2024,October,35
Belarus,2024,November,50
Belarus,2024,December,25
Belarus,2024,Total,585
Belarus,2025,January,30
Belarus,2025,February,45
Belarus,2025,March,35
Belarus,2025,April,50
Belarus,2025,May,65
Belarus,2025,June,50
Belarus,2025,July,30
Belarus,2025,August,40
Belarus,2025,September,15
Belarus,2025,October,35
Belarus,2025,November,40
Belarus,2025,December,45
Belarus,2025,Total,480
Belarus,2026,January,40
Belarus,2026,February,40
Belarus,2026,March,30
Belarus,2026,April,55
Belarus,2026,May,65
Belarus,2026,Total,230
Belgium,2023,January,0
Belgium,2023,February,10
Belgium,2023,March,
Belgium,2023,April,
Belgium,2023,May,
Belgium,2023,June,
Belgium,2023,July,0
Belgium,2023,August,0
Belgium,2023,September,10
Belgium,2023,October,0
Belgium,2023,November,
Belgium,2023,December,0
Belgium,2023,Total,30
Belgium,2024,January,
Belgium,2024,February,
Belgium,2024,March,
Belgium,2024,April,
Belgium,2024,May,0
Belgium,2024,June,0
Belgium,2024,July,
Belgium,2024,August,5
Belgium,2024,September,5
Belgium,2024,October,
Belgium,2024,November,5
Belgium,2024,December,
Belgium,2024,Total,30
Belgium,2025,January,
Belgium,2025,February,10
Belgium,2025,March,
Belgium,2025,April,0
Belgium,2025,May,
Belgium,2025,June,0
Belgium,2025,July,0
Belgium,2025,August,15
Belgium,2025,September,
Belgium,2025,October,
Belgium,2025,November,0
Belgium,2025,December,0
Belgium,2025,Total,35
Belgium,2026,January,0
Belgium,2026,February,0
Belgium,2026,March,0
Belgium,2026,April,0
Belgium,2026,May,0
Belgium,2026,Total,0
Belize,2023,January,35
Belize,2023,February,40
Belize,2023,March,25
Belize,2023,April,25
Belize,2023,May,50
Belize,2023,June,40
Belize,2023,July,25
Belize,2023,August,60
Belize,2023,September,40
Belize,2023,October,40
Belize,2023,November,55
Belize,2023,December,20
Belize,2023,Total,450
Belize,2024,January,25
Belize,2024,February,20
Belize,2024,March,65
Belize,2024,April,30
Belize,2024,May,40
Belize,2024,June,15
Belize,2024,July,25
Belize,2024,August,25
Belize,2024,September,15
Belize,2024,October,10
Belize,2024,November,45
Belize,2024,December,20
Belize,2024,Total,325
Belize,2025,January,30
Belize,2025,February,5
